goal_number,date,team,opponent,competition,is_home,assist_player,shot_x,shot_y,body_part,goal_type,finish_type,milestone
692,2020-01-30,FCBarcelona,Leganes,CDR,1,Rakitic,8,39,1,0,,
693,2020-02-22,FCBarcelona,Eibar,LL,1,Rakitic,11,42,1,0,,
694,2020-02-22,FCBarcelona,Eibar,LL,1,Vidal,8,35,1,0,,
695,2020-02-22,FCBarcelona,Eibar,LL,1,,9,55,1,0,,
696,2020-02-22,FCBarcelona,Eibar,LL,1,,3,43,1,0,,
697,2020-03-07,FCBarcelona,Real Sociedad,LL,1,,11,50,1,0,last game before Covid,
698,2020-06-13,FCBarcelona,Mallorca,LL,0,Suarez,13,49,2,0,,
699,2020-06-16,FCBarcelona,Leganes,LL,1,,11,50,1,1,,
700,2020-06-30,FCBarcelona,Atletico Madrid,LL,1,Semedo,11,50,1,1,,
701,2020-07-16,FCBarcelona,Osasuna,LL,1,,23,43,1,2,,
702,2020-07-19,FCBarcelona,Alaves,LL,0,Puig,5,43,1,0,,
703,2020-07-19,FCBarcelona,Alaves,LL,0,Alba,9,54,1,0,,
704,2020-08-08,FCBarcelona,Napoli,CL,1,,10,65,1,0,,
705,2020-09-27,FCBarcelona,Villareal,LL,1,Fati,11,50,1,1,,
706,2020-10-09,Argentina,Ecuador,WCQ,1,Ocampos,11,50,1,1,,
707,2020-10-20,FCBarcelona,Ferencvaros,CL,1,,11,50,1,1,,
708,2020-10-28,FCBarcelona,Juventus,CL,0,Fati,11,50,1,1,,
709,2020-11-04,FCBarcelona,Dynamo Kyiv,CL,1,,11,50,1,1,,
710,2020-11-07,FCBarcelona,Real Betis,LL,1,,11,50,1,1,,
711,2020-11-07,FCBarcelona,Real Betis,LL,1,Roberto,8,64,1,0,,
712,2020-11-29,FCBarcelona,Osasuna,LL,1,Trincao,18,42,1,0,,
713,2020-12-13,FCBarcelona,Levante,LL,1,De Jong,10,39,1,0,,
714,2020-12-19,FCBarcelona,Valencia,LL,1,,2,54,3,0,,
715,2020-12-22,FCBarcelona,Valladolid,LL,0,Pedri,8,37,1,0,,
716,2021-01-06,FCBarcelona,Athletic Club,LL,0,Pedri,14,37,1,0,,
717,2021-01-06,FCBarcelona,Athletic Club,LL,0,Griezmann,8,40,1,0,,
718,2021-01-09,FCBarcelona,Granada,LL,0,Griezmann,15,46,1,0,,
719,2021-01-09,FCBarcelona,Granada,LL,0,,19,54,1,2,,
720,2021-01-27,FCBarcelona,Rayo Vallecano,CDR,0,Griezmann,5,54,1,0,,
721,2021-01-31,FCBarcelona,Athletic Club,LL,1,,24,51,1,2,,
722,2021-02-07,FCBarcelona,Real Betis,LL,0,Dembele,16,66,1,0,,
723,2021-02-13,FCBarcelona,Alaves,LL,1,Busquets,21,64,1,0,,
724,2021-02-13,FCBarcelona,Alaves,LL,1,Griezmann,23,53,1,0,,
725,2021-02-16,FCBarcelona,PSG,CL,0,De Jong,11,50,1,1,,
726,2021-02-21,FCBarcelona,Cadiz,LL,0,,11,50,1,1,,
727,2021-02-24,FCBarcelona,Elche,LL,1,Braithwaite,8,51,1,0,,
728,2021-02-24,FCBarcelona,Elche,LL,1,De Jong,5,47,1,0,,
729,2021-02-27,FCBarcelona,Sevilla,LL,0,Moriba,2,45,2,0,,
730,2021-03-10,FCBarcelona,PSG,CL,0,Pedri,25,52,1,0,,
731,2021-03-15,FCBarcelona,Huesca,LL,1,Busquets,20,41,1,0,,
732,2021-03-15,FCBarcelona,Huesca,LL,1,Trincao,20,60,1,0,,
733,2021-03-21,FCBarcelona,Real Sociedad,LL,0,Busquets,7,49,1,0,,
734,2021-03-21,FCBarcelona,Real Sociedad,LL,0,Alba,10,42,1,0,,
735,2021-04-17,FCBarcelona,Athletic Club,CDR,0,De Jong,7,62,1,0,,
736,2021-04-17,FCBarcelona,Athletic Club,CDR,0,Alba,13,42,1,0,,
737,2021-04-22,FCBarcelona,Getafe,LL,1,Busquets,1,59,1,0,,
738,2021-04-22,FCBarcelona,Getafe,LL,1,,11,38,1,0,,
739,2021-04-29,FCBarcelona,Granada,LL,1,Griezmann,8,36,1,0,,
740,2021-05-02,FCBarcelona,Valencia,LL,0,,1,46,1,0,,
741,2021-05-02,FCBarcelona,Valencia,LL,0,,24,52,1,2,,
742,2021-05-11,FCBarcelona,Levante,LL,0,,12,61,1,0,,
743,2021-05-16,FCBarcelona,Celta Vigo,LL,1,Busquets,7,56,3,0,,
744,2021-06-04,Argentina,Chile,WCQ,1,Martinez,11,50,1,1,,
745,2021-06-14,Argentina,Chile,CA,1,Martinez,24,51,1,2,,
746,2021-06-28,Argentina,Bolivia,CA,0,Gomez,11,50,1,1,,
747,2021-06-28,Argentina,Bolivia,CA,0,Aguero,22,41,1,0,,
748,2021-07-03,Argentina,Ecuador,CA,1,,17,46,1,2,,
749,2021-09-09,Argentina,Bolivia,WCQ,1,Paredes,21,51,1,0,,
750,2021-09-09,Argentina,Bolivia,WCQ,1,,7,47,2,0,,
751,2021-09-09,Argentina,Bolivia,WCQ,1,Paredes,3,44,1,0,,
752,2021-09-28,Paris St Germain,Manchester City,CL,1,Mbappe,17,49,1,0,,First goal with PSG
753,2021-10-10,Argentina,Uruguay,WCQ,1,Lo Celso,24,74,1,0,,
754,2021-10-19,FCBarcelona,Leipzig,CL,1,Mbappe,9,53,1,0,,
755,2021-10-19,FCBarcelona,Leipzig,CL,1,Mbappe,11,50,1,1,,
756,2021-11-20,Paris St Germain,Nantes,Ligue1,1,Mbappe,19,61,1,0,,
757,2021-12-07,Paris St Germain,Brugge,CL,1,Mbappe,19,53,1,0,,
758,2021-12-07,Paris St Germain,Brugge,CL,1,Messi,11,50,1,1,,
