goal_number,date,team,opponent,competition,is_home,assist_player,shot_x,shot_y,body_part,goal_type,finish_type,milestone
425,2015-01-18,FCBarcelona,Deportivo La Coruna,LL,0,Rakitic,11,41,3,0,,
426,2015-01-18,FCBarcelona,Deportivo La Coruna,LL,0,Suarez,6,43,1,0,,
427,2015-01-18,FCBarcelona,Deportivo La Coruna,LL,0,Rakitic,13,66,1,0,,
428,2015-01-21,FCBarcelona,Atletico Madrid,CDR,1,,2,49,1,0,penalty rebound,
429,2015-01-24,FCBarcelona,Elche,LL,0,Neymar,11,50,1,1,,
430,2015-01-24,FCBarcelona,Elche,LL,0,Bartra,13,36,1,0,,
431,2015-02-01,FCBarcelona,Villareal,LL,1,Suarez,18,50,2,0,,
432,2015-02-08,FCBarcelona,Athletic Club,LL,0,,29,65,1,0,,
433,2015-02-11,FCBarcelona,Villareal,CDR,1,Suarez,12,45,1,0,,
434,2015-02-15,FCBarcelona,Levante,LL,1,Bartra,9,62,2,0,,
435,2015-02-15,FCBarcelona,Levante,LL,1,Pedro,6,49,2,0,,
436,2015-02-15,FCBarcelona,Levante,LL,1,Neymar,11,50,1,1,,
437,2015-02-28,FCBarcelona,Granada,LL,0,Suarez,9,52,2,0,,
438,2015-03-08,FCBarcelona,Rayo Vallecano,LL,1,,11,50,1,1,,
439,2015-03-08,FCBarcelona,Rayo Vallecano,LL,1,,5,51,1,0,,
440,2015-03-08,FCBarcelona,Rayo Vallecano,LL,1,Pedro,3,38,1,0,,
441,2015-03-14,FCBarcelona,Eibar,LL,0,,11,50,1,1,,
442,2015-03-14,FCBarcelona,Eibar,LL,0,Pedro,10,55,3,0,,
443,2015-04-08,FCBarcelona,Almeria,LL,1,Bartra,14,75,1,0,,
444,2015-04-11,FCBarcelona,Sevilla,LL,0,Neymar,13,59,1,0,,
445,2015-04-18,FCBarcelona,Valencia,LL,1,Neymar,9,52,1,0,,
446,2015-04-25,FCBarcelona,Espanyol,LL,0,Roberto,2,39,1,0,,
447,2015-04-28,FCBarcelona,Getafe,LL,1,Suarez,11,50,1,1,,
448,2015-04-28,FCBarcelona,Getafe,LL,1,Suarez,10,68,1,0,,
449,2015-05-02,FCBarcelona,Cordoba,LL,0,Alves,11,57,3,0,,
450,2015-05-02,FCBarcelona,Cordoba,LL,0,Suarez,2,47,1,0,,
451,2015-05-06,FCBarcelona,Bayern Munich,CL,1,Alves,19,58,1,0,,
452,2015-05-06,FCBarcelona,Bayern Munich,CL,1,Rakitic,7,61,2,0,Chip,
453,2015-05-17,FCBarcelona,Atletico Madrid,LL,0,Neymar,10,41,1,0,,
454,2015-05-23,FCBarcelona,Deportivo La Coruna,LL,1,Rafinha,6,45,3,0,,
455,2015-05-23,FCBarcelona,Deportivo La Coruna,LL,1,Neymar,7,57,1,0,,
456,2015-05-30,FCBarcelona,Athletic Club,CDR,1,,9,69,1,0,,solo run
457,2015-05-30,FCBarcelona,Athletic Club,CDR,1,Alves,6,57,2,0,,
458,2015-06-13,Argentina,Paraguay,CA,1,DiMaria,11,50,1,1,,
459,2015-08-11,FCBarcelona,Sevilla,European SC,1,,18,60,1,2,,
460,2015-08-11,FCBarcelona,Sevilla,European SC,1,,23,48,1,2,,
461,2015-08-17,FCBarcelona,Athletic Club,Spanish SC,1,Suarez,4,48,1,0,,
462,2015-09-04,Argentina,Bolivia,IF,1,Casco,8,48,3,0,,
463,2015-09-04,Argentina,Bolivia,IF,1,Aguero,5,46,1,0,,
464,2015-09-08,Argentina,Mexico,IF,1,Aguero,7,40,1,0,,
465,2015-09-12,FCBarcelona,Atletico Madrid,LL,0,Suarez,8,43,1,0,,
466,2015-09-20,FCBarcelona,Levante,LL,1,,11,50,1,1,,
467,2015-09-20,FCBarcelona,Levante,LL,1,Bartra,15,50,1,0,,
468,2015-11-24,FCBarcelona,Roma,CL,1,Suarez,6,40,1,0,chip,
469,2015-11-24,FCBarcelona,Roma,CL,1,,2,44,1,0,,
470,2015-11-28,FCBarcelona,Real Sociedad,LL,1,Neymar,3,57,1,0,,
471,2015-12-09,FCBarcelona,Bayer Leverkusen,CL,0,Rakitic,5,56,2,0,,
472,2015-12-12,FCBarcelona,Deportivo La Coruna,LL,1,,25,60,1,2,,
473,2015-12-20,FCBarcelona,River Plate,Club WC,0,Neymar,8,57,1,0,,
474,2015-12-30,FCBarcelona,Real Betis,LL,1,Neymar,7,47,1,0,,
475,2016-01-06,FCBarcelona,Espanyol,CDR,1,Iniesta,10,49,1,0,,
476,2016-01-06,FCBarcelona,Espanyol,CDR,1,,25,70,1,0,,
477,2016-01-09,FCBarcelona,Granada,LL,1,Turan,5,45,1,0,,
478,2016-01-09,FCBarcelona,Granada,LL,1,Suarez,2,39,1,0,,
479,2016-01-09,FCBarcelona,Granada,LL,1,,7,48,1,0,,
480,2016-01-17,FCBarcelona,Athletic Club,LL,1,Suarez,11,50,1,1,,
481,2016-01-23,FCBarcelona,Malaga,LL,0,Adriano,6,57,1,0,,
482,2016-01-30,FCBarcelona,Atletico Madrid,LL,1,Alba,8,43,1,0,,
483,2016-02-03,FCBarcelona,Valencia,CDR,1,Neymar,8,52,1,0,,
484,2016-02-03,FCBarcelona,Valencia,CDR,1,Suarez,12,50,1,0,,
485,2016-02-03,FCBarcelona,Valencia,CDR,1,,11,34,1,0,,
486,2016-02-14,FCBarcelona,Celta Vigo,LL,1,,26,63,1,0,,
487,2016-02-17,FCBarcelona,Sporting Gijon,LL,0,Suarez,23,53,1,0,,
488,2016-02-17,FCBarcelona,Sporting Gijon,LL,0,Suarez,8,62,1,0,,
489,2016-02-23,FCBarcelona,Arsenal,CL,0,Neymar,8,51,1,0,,
490,2016-02-23,FCBarcelona,Arsenal,CL,0,,11,50,1,1,messi drew,
491,2016-02-28,FCBarcelona,Sevilla,LL,1,,19,37,1,2,,
492,2016-03-03,FCBarcelona,Rayo Vallecano,LL,0,Neymar,9,42,1,0,,
493,2016-03-03,FCBarcelona,Rayo Vallecano,LL,0,,9,47,1,0,,
494,2016-03-03,FCBarcelona,Rayo Vallecano,LL,0,Busquets,13,52,1,0,,
495,2016-03-06,FCBarcelona,Eibar,LL,0,Munir,12,37,1,0,,
496,2016-03-06,FCBarcelona,Eibar,LL,0,,11,50,1,0,Handball,
497,2016-03-12,FCBarcelona,Getafe,LL,1,Turan,22,50,1,0,,
498,2016-03-16,FCBarcelona,Arsenal,CL,1,Neymar,8,60,1,0,,
499,2016-03-29,FCBarcelona,Bolivia,WCQ,1,Banega,11,50,1,0,,
500,2016-04-17,FCBarcelona,Valencia,LL,1,Alba,10,47,1,0,,
501,2016-04-20,FCBarcelona,Deportivo La Coruna,LL,0,Suarez,13,51,1,0,,
502,2016-04-23,FCBarcelona,Sporting Gijon,LL,1,,15,51,3,0,,
503,2016-05-08,FCBarcelona,Espanyol,LL,1,,23,52,1,2,,
504,2016-06-10,Argentina,Panama,CA,1,Higuain,12,44,1,0,,
505,2016-06-10,Argentina,Panama,CA,1,,24,67,1,2,,
506,2016-06-10,Argentina,Panama,CA,1,Rojo,12,54,1,0,,
507,2016-06-18,Argentina,Venezuela,CA,1,Gaitan,9,55,1,0,,
508,2016-06-21,Argentina,USA,CA,0,,23,40,1,2,,
509,2016-08-17,FCBarcelona,Sevilla,Spanish SC,1,Digne,8,57,3,0,,
510,2016-08-20,FCBarcelona,Real Betis,LL,1,Roberto,21,57,1,0,,
511,2016-08-20,FCBarcelona,Real Betis,LL,1,Turan,20,45,1,0,,
512,2016-09-01,Argentina,Uruguay,WCQ,1,,18,29,1,0,,
513,2016-09-13,FCBarcelona,Celtic,CL,1,Neymar,5,34,1,0,,
514,2016-09-13,FCBarcelona,Celtic,CL,1,Neymar,2,43,1,0,,
515,2016-09-13,FCBarcelona,Celtic,CL,1,Suarez,4,55,1,0,,
516,2016-09-17,FCBarcelona,Leganes,LL,0,Suarez,8,55,1,0,,
517,2016-09-17,FCBarcelona,Leganes,LL,0,Neymar,11,50,1,1,,
518,2016-10-15,FCBarcelona,Deportivo La Coruna,LL,1,Neymar,6,37,1,0,,
519,2016-10-19,FCBarcelona,Manchester City,CL,1,Iniesta,5,44,1,0,,
520,2016-10-19,FCBarcelona,Manchester City,CL,1,Iniesta,17,59,1,0,,
521,2016-10-19,FCBarcelona,Manchester City,CL,1,Suarez,10,48,1,0,,
522,2016-10-22,FCBarcelona,Valencia,LL,0,Rakitic,15,62,1,0,,
523,2016-10-22,FCBarcelona,Valencia,LL,0,Suarez,11,50,1,1,,
524,2016-11-01,FCBarcelona,Manchester City,CL,0,Neymar,11,46,1,0,,
525,2016-11-06,FCBarcelona,Sevilla,LL,0,Neymar,17,47,1,0,,
526,2016-11-15,Argentina,Colombia,WCQ,1,,26,49,1,2,,
527,2016-11-23,FCBarcelona,Celtic,CL,0,Neymar,7,42,1,0,,
528,2016-11-23,FCBarcelona,Celtic,CL,0,Suarez,11,50,1,1,,
529,2016-11-27,FCBarcelona,Real Sociedad,LL,0,Neymar,10,46,1,0,,
530,2016-12-06,FCBarcelona,Borussia Monch,CL,1,Turan,8,38,1,0,,
531,2016-12-10,FCBarcelona,Osasuna,LL,0,Alba,6,42,1,0,,
532,2016-12-10,FCBarcelona,Osasuna,LL,0,Busquets,11,47,1,0,,
533,2016-12-18,FCBarcelona,Espanyol,LL,1,Suarez,6,56,1,0,,
534,2017-01-05,FCBarcelona,Athletic Club,CDR,0,,21,22,1,2,,
535,2017-01-08,FCBarcelona,Villareal,LL,0,,22,51,1,2,,
536,2017-01-11,FCBarcelona,Athletic Club,CDR,1,,22,43,1,2,,
537,2017-01-14,FCBarcelona,Los Palmas,LL,1,,3,54,2,0,,
538,2017-01-22,FCBarcelona,Eibar,LL,0,Suarez,7,45,1,0,,
539,2017-01-26,FCBarcelona,Real Sociedad,CDR,1,Neymar,11,50,1,1,,
540,2017-02-01,FCBarcelona,Atletico Madrid,CDR,0,Rakitic,23,65,1,0,,
541,2017-02-04,FCBarcelona,Athletic Club,LL,1,,7,88,1,2,,
542,2017-02-11,FCBarcelona,Alaves,LL,0,Neymar,7,34,1,0,,
543,2017-02-19,FCBarcelona,Leganes,LL,1,Suarez,5,53,2,0,,
544,2017-02-19,FCBarcelona,Leganes,LL,1,Neymar,11,50,1,1,,
545,2017-02-26,FCBarcelona,Atletico Madrid,LL,0,,3,55,1,0,,
546,2017-03-01,FCBarcelona,Sporting Gijon,LL,1,Mascherano,13,46,3,0,,
547,2017-03-04,FCBarcelona,Celta Vigo,LL,1,Busquets,17,47,1,0,,
548,2017-03-04,FCBarcelona,Celta Vigo,LL,1,,13,59,1,0,,
549,2017-03-08,FCBarcelona,PSG,CL,1,Neymar,11,50,1,1,,
550,2017-03-19,FCBarcelona,Valencia,LL,1,Suarez,11,50,1,1,,
551,2017-03-19,FCBarcelona,Valencia,LL,1,Mascherano,8,64,2,0,,
552,2017-03-23,Argentina,Chile,WCQ,1,,11,50,1,0,,
553,2017-04-05,FCBarcelona,Sevilla,LL,1,Suarez,7,58,2,0,,
554,2017-04-05,FCBarcelona,Sevilla,LL,1,Suarez,11,60,1,0,,
555,2017-04-15,FCBarcelona,Real Sociedad,LL,1,Suarez,23,51,1,0,,
556,2017-04-15,FCBarcelona,Real Sociedad,LL,1,,6,51,1,0,,
557,2017-04-23,FCBarcelona,Real Madrid,LL,0,Rakitic,11,49,1,0,,
558,2017-04-23,FCBarcelona,Real Madrid,LL,0,Rakitic,12,42,1,0,,
559,2017-04-26,FCBarcelona,Osasuna,LL,1,,10,58,1,0,,
560,2017-04-26,FCBarcelona,Osasuna,LL,1,Rakitic,18,44,1,0,,
561,2017-05-06,FCBarcelona,Villareal,LL,1,Busquets,18,38,1,0,,
562,2017-05-06,FCBarcelona,Villareal,LL,1,,11,50,1,1,,
563,2017-05-21,FCBarcelona,Eibar,LL,1,Neymar,11,50,1,1,,
564,2017-05-21,FCBarcelona,Eibar,LL,1,,15,49,2,0,,
565,2017-05-27,FCBarcelona,Alaves,CDR,1,Neymar,17,49,1,0,,
566,2017-08-13,FCBarcelona,Real Madrid,Spanish SC,1,Suarez,11,50,1,1,,
567,2017-08-26,FCBarcelona,Alaves,LL,0,Alba,9,36,1,0,,
568,2017-08-26,FCBarcelona,Alaves,LL,0,Alcacer,9,43,1,0,,
569,2017-09-09,FCBarcelona,Espanyol,LL,1,Rakitic,9,50,1,0,,
570,2017-09-09,FCBarcelona,Espanyol,LL,1,Alba,4,43,2,0,,
571,2017-09-09,FCBarcelona,Espanyol,LL,1,Alba,9,45,1,0,,
572,2017-09-12,FCBarcelona,Juventus,CL,1,Suarez,16,37,1,0,,
573,2017-09-12,FCBarcelona,Juventus,CL,1,,16,48,1,0,,
574,2017-09-19,FCBarcelona,Eibar,LL,1,Semedo,11,50,1,1,,
